# requested_x_cm 7.5
# actual_x_cm 7.5
# y_cm z_cm dose
-0.5 -0.5 0.000240233
-0.375 -0.5 0.00040291
-0.25 -0.5 0.000951544
-0.125 -0.5 0.00465136
0 -0.5 0.00954017
0.125 -0.5 0.00465136
0.25 -0.5 0.000951547
0.375 -0.5 0.000402912
0.5 -0.5 0.000240233

-0.5 -0.375 0.00040291
-0.375 -0.375 0.000676155
-0.25 -0.375 0.00159738
-0.125 -0.375 0.00780762
0 -0.375 0.0160148
0.125 -0.375 0.00780762
0.25 -0.375 0.00159739
0.375 -0.375 0.000676158
0.5 -0.375 0.000402909

-0.5 -0.25 0.000951544
-0.375 -0.25 0.00159738
-0.25 -0.25 0.00378067
-0.125 -0.25 0.0185023
0 -0.25 0.0379602
0.125 -0.25 0.0185023
0.25 -0.25 0.00378067
0.375 -0.25 0.00159739
0.5 -0.25 0.000951544

-0.5 -0.125 0.00465136
-0.375 -0.125 0.00780762
-0.25 -0.125 0.0185023
-0.125 -0.125 0.0907309
0 -0.125 0.186202
0.125 -0.125 0.0907309
0.25 -0.125 0.0185023
0.375 -0.125 0.00780762
0.5 -0.125 0.00465136

-0.5 0 0.00954017
-0.375 0 0.0160148
-0.25 0 0.0379602
-0.125 0 0.186202
0 0 0.382152
0.125 0 0.186202
0.25 0 0.0379602
0.375 0 0.0160148
0.5 0 0.00954017

-0.5 0.125 0.00465136
-0.375 0.125 0.00780762
-0.25 0.125 0.0185023
-0.125 0.125 0.0907309
0 0.125 0.186202
0.125 0.125 0.0907309
0.25 0.125 0.0185023
0.375 0.125 0.00780762
0.5 0.125 0.00465136

-0.5 0.25 0.000951547
-0.375 0.25 0.00159739
-0.25 0.25 0.00378067
-0.125 0.25 0.0185023
0 0.25 0.0379602
0.125 0.25 0.0185023
0.25 0.25 0.00378067
0.375 0.25 0.00159739
0.5 0.25 0.000951547

-0.5 0.375 0.000402912
-0.375 0.375 0.000676158
-0.25 0.375 0.00159739
-0.125 0.375 0.00780762
0 0.375 0.0160148
0.125 0.375 0.00780762
0.25 0.375 0.00159739
0.375 0.375 0.000676161
0.5 0.375 0.000402912

-0.5 0.5 0.000240233
-0.375 0.5 0.000402909
-0.25 0.5 0.000951544
-0.125 0.5 0.00465136
0 0.5 0.00954017
0.125 0.5 0.00465136
0.25 0.5 0.000951547
0.375 0.5 0.000402912
0.5 0.5 0.000240232

