# requested_x_cm 0.5
# actual_x_cm 0.5
# y_cm z_cm dose
-0.5 -0.5 0.00403383
-0.375 -0.5 0.0074059
-0.25 -0.5 0.0114309
-0.125 -0.5 0.014831
0 -0.5 0.0161761
0.125 -0.5 0.014831
0.25 -0.5 0.0114309
0.375 -0.5 0.0074059
0.5 -0.5 0.00403383

-0.5 -0.375 0.0074059
-0.375 -0.375 0.0135969
-0.25 -0.375 0.0209865
-0.125 -0.375 0.027229
0 -0.375 0.0296986
0.125 -0.375 0.027229
0.25 -0.375 0.0209865
0.375 -0.375 0.0135969
0.5 -0.375 0.0074059

-0.5 -0.25 0.0114309
-0.375 -0.25 0.0209865
-0.25 -0.25 0.0323922
-0.125 -0.25 0.0420274
0 -0.25 0.0458391
0.125 -0.25 0.0420274
0.25 -0.25 0.0323922
0.375 -0.25 0.0209865
0.5 -0.25 0.0114309

-0.5 -0.125 0.014831
-0.375 -0.125 0.027229
-0.25 -0.125 0.0420274
-0.125 -0.125 0.0545286
0 -0.125 0.0594742
0.125 -0.125 0.0545286
0.25 -0.125 0.0420274
0.375 -0.125 0.027229
0.5 -0.125 0.014831

-0.5 0 0.0161761
-0.375 0 0.0296986
-0.25 0 0.0458391
-0.125 0 0.0594742
0 0 0.0648682
0.125 0 0.0594742
0.25 0 0.0458391
0.375 0 0.0296986
0.5 0 0.0161761

-0.5 0.125 0.014831
-0.375 0.125 0.027229
-0.25 0.125 0.0420274
-0.125 0.125 0.0545286
0 0.125 0.0594742
0.125 0.125 0.0545286
0.25 0.125 0.0420274
0.375 0.125 0.027229
0.5 0.125 0.014831

-0.5 0.25 0.0114309
-0.375 0.25 0.0209865
-0.25 0.25 0.0323922
-0.125 0.25 0.0420274
0 0.25 0.0458391
0.125 0.25 0.0420274
0.25 0.25 0.0323922
0.375 0.25 0.0209865
0.5 0.25 0.0114309

-0.5 0.375 0.0074059
-0.375 0.375 0.0135969
-0.25 0.375 0.0209865
-0.125 0.375 0.027229
0 0.375 0.0296986
0.125 0.375 0.027229
0.25 0.375 0.0209865
0.375 0.375 0.0135969
0.5 0.375 0.0074059

-0.5 0.5 0.00403383
-0.375 0.5 0.0074059
-0.25 0.5 0.0114309
-0.125 0.5 0.014831
0 0.5 0.0161761
0.125 0.5 0.014831
0.25 0.5 0.0114309
0.375 0.5 0.0074059
0.5 0.5 0.00403383

