# requested_x_cm 20
# actual_x_cm 20
# y_cm z_cm dose
-0.5 -0.5 0.00564885
-0.375 -0.5 0.00983928
-0.25 -0.5 0.0148251
-0.125 -0.5 0.0190466
0 -0.5 0.0207172
0.125 -0.5 0.0190466
0.25 -0.5 0.0148251
0.375 -0.5 0.00983928
0.5 -0.5 0.00564885

-0.5 -0.375 0.00983928
-0.375 -0.375 0.0171373
-0.25 -0.375 0.0258206
-0.125 -0.375 0.0331727
0 -0.375 0.0360824
0.125 -0.375 0.0331727
0.25 -0.375 0.0258206
0.375 -0.375 0.0171373
0.5 -0.375 0.00983928

-0.5 -0.25 0.0148251
-0.375 -0.25 0.0258206
-0.25 -0.25 0.0389032
-0.125 -0.25 0.0499803
0 -0.25 0.0543642
0.125 -0.25 0.0499803
0.25 -0.25 0.0389032
0.375 -0.25 0.0258206
0.5 -0.25 0.0148251

-0.5 -0.125 0.0190466
-0.375 -0.125 0.0331727
-0.25 -0.125 0.0499803
-0.125 -0.125 0.0642115
0 -0.125 0.0698435
0.125 -0.125 0.0642115
0.25 -0.125 0.0499803
0.375 -0.125 0.0331727
0.5 -0.125 0.0190466

-0.5 0 0.0207172
-0.375 0 0.0360824
-0.25 0 0.0543642
-0.125 0 0.0698435
0 0 0.0759696
0.125 0 0.0698435
0.25 0 0.0543642
0.375 0 0.0360824
0.5 0 0.0207172

-0.5 0.125 0.0190466
-0.375 0.125 0.0331727
-0.25 0.125 0.0499803
-0.125 0.125 0.0642115
0 0.125 0.0698435
0.125 0.125 0.0642115
0.25 0.125 0.0499803
0.375 0.125 0.0331727
0.5 0.125 0.0190466

-0.5 0.25 0.0148251
-0.375 0.25 0.0258206
-0.25 0.25 0.0389032
-0.125 0.25 0.0499803
0 0.25 0.0543642
0.125 0.25 0.0499803
0.25 0.25 0.0389032
0.375 0.25 0.0258206
0.5 0.25 0.0148251

-0.5 0.375 0.00983928
-0.375 0.375 0.0171373
-0.25 0.375 0.0258206
-0.125 0.375 0.0331727
0 0.375 0.0360824
0.125 0.375 0.0331727
0.25 0.375 0.0258206
0.375 0.375 0.0171373
0.5 0.375 0.00983928

-0.5 0.5 0.00564885
-0.375 0.5 0.00983928
-0.25 0.5 0.0148251
-0.125 0.5 0.0190466
0 0.5 0.0207172
0.125 0.5 0.0190466
0.25 0.5 0.0148251
0.375 0.5 0.00983928
0.5 0.5 0.00564886

