# step x_cm g psi1_integral psi2_integral
1 0.01 0 -1.70953e-34 -2.74201e-34
1 0.01 1 1.59232e-33 3.43786e-33
1 0.01 2 -2.42314e-32 -5.98186e-32
1 0.01 3 5.08208e-31 1.32032e-30
1 0.01 4 -1.32861e-29 -3.54939e-29
1 0.01 5 4.10971e-28 1.1176e-27
1 0.01 6 -1.45532e-26 -4.00679e-26
1 0.01 7 5.76422e-25 1.60145e-24
1 0.01 8 -2.50888e-23 -7.01855e-23
1 0.01 9 1.1829e-21 3.32692e-21
1 0.01 10 -5.96689e-20 -1.68526e-19
1 0.01 11 3.18294e-18 9.01913e-18
1 0.01 12 -1.77415e-16 -5.03941e-16
1 0.01 13 1.01895e-14 2.89888e-14
1 0.01 14 -5.9159e-13 -1.68392e-12
1 0.01 15 3.36319e-11 9.56139e-11
1 0.01 16 -1.74671e-09 -4.93943e-09
1 0.01 17 6.50426e-08 1.79479e-07
1 0.01 18 6.66987e-06 5.83321e-06
1 0.01 19 9.05247e-05 -5.7901e-06
1 0.01 20 4.06248e-15 -2.50783e-16
1 0.01 21 4.0515e-37 -2.41843e-38
1 0.01 22 8.97937e-71 -5.19191e-72
1 0.01 23 4.42267e-116 -2.48095e-117
1 0.01 24 4.84101e-173 -2.63846e-174
1 0.01 25 1.17761e-241 -6.24426e-243
1 0.01 26 6.37345e-322 -3.45846e-323
1 0.01 27 0 0
1 0.01 28 0 0
1 0.01 29 0 0
1 0.01 30 0 0
1 0.01 31 0 0
1 0.01 32 0 0
1 0.01 33 0 0
1 0.01 34 0 0
1 0.01 35 0 0
1 0.01 36 0 0
1 0.01 37 0 0
1 0.01 38 0 0
1 0.01 39 0 0
1 0.01 40 0 0
1 0.01 41 0 0
1 0.01 42 0 0
1 0.01 43 0 0
1 0.01 44 0 0
1 0.01 45 0 0
1 0.01 46 0 0
1 0.01 47 0 0
1 0.01 48 0 0
1 0.01 49 0 0
2 0.02 0 -2.83581e-32 -4.30714e-32
2 0.02 1 2.48628e-31 5.1751e-31
2 0.02 2 -3.41996e-30 -8.23391e-30
2 0.02 3 6.38055e-29 1.62446e-28
2 0.02 4 -1.46509e-27 -3.84524e-27
2 0.02 5 3.93052e-26 1.05158e-25
2 0.02 6 -1.1909e-24 -3.22814e-24
2 0.02 7 3.97468e-23 1.08751e-22
2 0.02 8 -1.43215e-21 -3.94507e-21
2 0.02 9 5.47312e-20 1.51496e-19
2 0.02 10 -2.18082e-18 -6.05605e-18
2 0.02 11 8.89702e-17 2.47488e-16
2 0.02 12 -3.63722e-15 -1.01177e-14
2 0.02 13 1.44826e-13 4.01959e-13
2 0.02 14 -5.38397e-12 -1.48543e-11
2 0.02 15 1.7391e-10 4.73366e-10
2 0.02 16 -4.21995e-09 -1.10913e-08
2 0.02 17 4.77042e-08 1.04736e-07
2 0.02 18 8.9054e-06 1.13513e-05
2 0.02 19 8.83089e-05 -1.10669e-05
2 0.02 20 3.96703e-15 -4.80148e-16
2 0.02 21 3.9599e-37 -4.63751e-38
2 0.02 22 8.78361e-71 -9.96993e-72
2 0.02 23 4.32952e-116 -4.7703e-117
2 0.02 24 4.74233e-173 -5.07922e-174
2 0.02 25 1.15434e-241 -1.20339e-242
2 0.02 26 6.22523e-322 -6.42285e-323
2 0.02 27 0 0
2 0.02 28 0 0
2 0.02 29 0 0
2 0.02 30 0 0
2 0.02 31 0 0
2 0.02 32 0 0
2 0.02 33 0 0
2 0.02 34 0 0
2 0.02 35 0 0
2 0.02 36 0 0
2 0.02 37 0 0
2 0.02 38 0 0
2 0.02 39 0 0
2 0.02 40 0 0
2 0.02 41 0 0
2 0.02 42 0 0
2 0.02 43 0 0
2 0.02 44 0 0
2 0.02 45 0 0
2 0.02 46 0 0
2 0.02 47 0 0
2 0.02 48 0 0
2 0.02 49 0 0
3 0.03 0 -1.38533e-30 -1.98481e-30
3 0.03 1 1.15476e-29 2.30874e-29
3 0.03 2 -1.44269e-28 -3.37725e-28
3 0.03 3 2.40284e-27 5.97883e-27
3 0.03 4 -4.86248e-26 -1.25061e-25
3 0.03 5 1.13557e-24 2.9815e-24
3 0.03 6 -2.95644e-23 -7.86994e-23
3 0.03 7 8.35788e-22 2.24597e-21
3 0.03 8 -2.50951e-20 -6.7869e-20
3 0.03 9 7.84092e-19 2.12893e-18
3 0.03 10 -2.49702e-17 -6.7914e-17
3 0.03 11 7.91976e-16 2.15256e-15
3 0.03 12 -2.43166e-14 -6.58477e-14
3 0.03 13 6.95383e-13 1.86747e-12
3 0.03 14 -1.7449e-11 -4.60712e-11
3 0.03 15 3.43041e-10 8.7081e-10
3 0.03 16 -3.70737e-09 -7.97761e-09
3 0.03 17 -4.44417e-08 -1.68578e-07
3 0.03 18 1.12758e-05 1.65286e-05
3 0.03 19 8.603e-05 -1.58592e-05
3 0.03 20 3.86891e-15 -6.89258e-16
3 0.03 21 3.8658e-37 -6.66765e-38
3 0.03 22 8.58259e-71 -1.4355e-71
3 0.03 23 4.23391e-116 -6.87743e-117
3 0.03 24 4.64108e-173 -7.33167e-174
3 0.03 25 1.13048e-241 -1.73898e-242
3 0.03 26 6.12641e-322 -8.89318e-323
3 0.03 27 0 0
3 0.03 28 0 0
3 0.03 29 0 0
3 0.03 30 0 0
3 0.03 31 0 0
3 0.03 32 0 0
3 0.03 33 0 0
3 0.03 34 0 0
3 0.03 35 0 0
3 0.03 36 0 0
3 0.03 37 0 0
3 0.03 38 0 0
3 0.03 39 0 0
3 0.03 40 0 0
3 0.03 41 0 0
3 0.03 42 0 0
3 0.03 43 0 0
3 0.03 44 0 0
3 0.03 45 0 0
3 0.03 46 0 0
3 0.03 47 0 0
3 0.03 48 0 0
3 0.03 49 0 0
4 0.04 0 -3.19263e-29 -4.29972e-29
4 0.04 1 2.56142e-28 4.90152e-28
4 0.04 2 -2.92584e-27 -6.63944e-27
4 0.04 3 4.37384e-26 1.06078e-25
4 0.04 4 -7.84336e-25 -1.97179e-24
4 0.04 5 1.60421e-23 4.12306e-23
4 0.04 6 -3.61415e-22 -9.42369e-22
4 0.04 7 8.72793e-21 2.29732e-20
4 0.04 8 -2.20661e-19 -5.84167e-19
4 0.04 9 5.71045e-18 1.51578e-17
4 0.04 10 -1.47739e-16 -3.91994e-16
4 0.04 11 3.71838e-15 9.82589e-15
4 0.04 12 -8.78979e-14 -2.30124e-13
4 0.04 13 1.8523e-12 4.75994e-12
4 0.04 14 -3.15721e-11 -7.78151e-11
4 0.04 15 3.23397e-10 6.78681e-10
4 0.04 16 2.52033e-09 1.06637e-08
4 0.04 17 -2.0273e-07 -5.89343e-07
4 0.04 18 1.37578e-05 2.13455e-05
4 0.04 19 8.37e-05 -2.01949e-05
4 0.04 20 3.7686e-15 -8.79232e-16
4 0.04 21 3.76961e-37 -8.51893e-38
4 0.04 22 8.37718e-71 -1.83673e-71
4 0.04 23 4.13623e-116 -8.81142e-117
4 0.04 24 4.53766e-173 -9.40488e-174
4 0.04 25 1.1061e-241 -2.23325e-242
4 0.04 26 5.97819e-322 -1.18576e-322
4 0.04 27 0 0
4 0.04 28 0 0
4 0.04 29 0 0
4 0.04 30 0 0
4 0.04 31 0 0
4 0.04 32 0 0
4 0.04 33 0 0
4 0.04 34 0 0
4 0.04 35 0 0
4 0.04 36 0 0
4 0.04 37 0 0
4 0.04 38 0 0
4 0.04 39 0 0
4 0.04 40 0 0
4 0.04 41 0 0
4 0.04 42 0 0
4 0.04 43 0 0
4 0.04 44 0 0
4 0.04 45 0 0
4 0.04 46 0 0
4 0.04 47 0 0
4 0.04 48 0 0
4 0.04 49 0 0
5 0.05 0 -4.28552e-28 -5.40737e-28
5 0.05 1 3.35723e-27 6.12779e-27
5 0.05 2 -3.53483e-26 -7.75224e-26
5 0.05 3 4.77489e-25 1.12569e-24
5 0.05 4 -7.6396e-24 -1.87248e-23
5 0.05 5 1.37868e-22 3.45992e-22
5 0.05 6 -2.71058e-21 -6.90494e-21
5 0.05 7 5.64629e-20 1.45166e-19
5 0.05 8 -1.21558e-18 -3.14033e-18
5 0.05 9 2.63935e-17 6.82408e-17
5 0.05 10 -5.62681e-16 -1.44968e-15
5 0.05 11 1.13947e-14 2.90826e-14
5 0.05 12 -2.08947e-13 -5.23018e-13
5 0.05 13 3.17586e-12 7.60993e-12
5 0.05 14 -3.06429e-11 -6.23915e-11
5 0.05 15 -1.71447e-10 -8.11253e-10
5 0.05 16 1.62717e-08 4.76497e-08
5 0.05 17 -4.17651e-07 -1.11104e-06
5 0.05 18 1.63295e-05 2.57876e-05
5 0.05 19 8.133e-05 -2.41008e-05
5 0.05 20 3.66657e-15 -1.05115e-15
5 0.05 21 3.67176e-37 -1.0201e-37
5 0.05 22 8.16819e-71 -2.20264e-71
5 0.05 23 4.03684e-116 -1.0581e-116
