# step x_cm g psi1_integral psi2_integral
1 0.005 0 -1.13334e-42 -2.64864e-42
1 0.005 1 2.42378e-41 6.43933e-41
1 0.005 2 -9.39586e-40 -2.70584e-39
1 0.005 3 5.68069e-38 1.62407e-37
1 0.005 4 -4.02773e-36 -1.19857e-35
1 0.005 5 3.76065e-34 1.09257e-33
1 0.005 6 -3.68269e-32 -1.11329e-31
1 0.005 7 4.5261e-30 1.32462e-29
1 0.005 8 -5.46935e-28 -1.67508e-27
1 0.005 9 8.18865e-26 2.40651e-25
1 0.005 10 -1.13815e-23 -3.53837e-23
1 0.005 11 1.97701e-21 5.82506e-21
1 0.005 12 -2.96621e-19 -9.43143e-19
1 0.005 13 5.7468e-17 1.69575e-16
1 0.005 14 -8.45141e-15 -2.81368e-14
1 0.005 15 1.7338e-12 5.11684e-12
1 0.005 16 -1.77594e-10 -7.07295e-10
1 0.005 17 3.00519e-08 8.80221e-08
1 0.005 18 5.23639e-06 1.89143e-06
1 0.005 19 9.19917e-05 -1.90194e-06
1 0.005 20 4.12573e-15 -8.22622e-17
1 0.005 21 4.11225e-37 -7.92285e-39
1 0.005 22 9.10928e-71 -1.69889e-72
1 0.005 23 4.48454e-116 -8.10929e-118
1 0.005 24 4.9066e-173 -8.61549e-175
1 0.005 25 1.19309e-241 -2.03706e-243
1 0.005 26 6.42285e-322 -9.88131e-324
1 0.005 27 0 0
1 0.005 28 0 0
1 0.005 29 0 0
1 0.005 30 0 0
1 0.005 31 0 0
1 0.005 32 0 0
1 0.005 33 0 0
1 0.005 34 0 0
1 0.005 35 0 0
1 0.005 36 0 0
1 0.005 37 0 0
1 0.005 38 0 0
1 0.005 39 0 0
1 0.005 40 0 0
1 0.005 41 0 0
1 0.005 42 0 0
1 0.005 43 0 0
1 0.005 44 0 0
1 0.005 45 0 0
1 0.005 46 0 0
1 0.005 47 0 0
1 0.005 48 0 0
1 0.005 49 0 0
2 0.01 0 -2.6691e-40 -6.38497e-40
2 0.01 1 5.48497e-39 1.44094e-38
2 0.01 2 -1.73884e-37 -5.25823e-37
2 0.01 3 1.0027e-35 2.85134e-35
2 0.01 4 -5.64336e-34 -1.78426e-33
2 0.01 5 4.98532e-32 1.44232e-31
2 0.01 6 -3.72582e-30 -1.2126e-29
2 0.01 7 4.28837e-28 1.2502e-27
2 0.01 8 -3.7444e-26 -1.25742e-25
2 0.01 9 5.17752e-24 1.51551e-23
2 0.01 10 -4.79263e-22 -1.68098e-21
2 0.01 11 7.53269e-20 2.20923e-19
2 0.01 12 -6.58184e-18 -2.48486e-17
2 0.01 13 1.11645e-15 3.27439e-15
2 0.01 14 -7.40497e-14 -3.27885e-13
2 0.01 15 1.2575e-11 3.67311e-11
2 0.01 16 -3.48828e-10 -2.49441e-09
2 0.01 17 5.12716e-08 1.4616e-07
2 0.01 18 5.89737e-06 3.75291e-06
2 0.01 19 9.13102e-05 -3.74971e-06
2 0.01 20 4.09635e-15 -1.62269e-16
2 0.01 21 4.08404e-37 -1.56362e-38
2 0.01 22 9.04896e-71 -3.35434e-72
2 0.01 23 4.45582e-116 -1.60178e-117
2 0.01 24 4.87615e-173 -1.70241e-174
2 0.01 25 1.18591e-241 -4.02663e-243
2 0.01 26 6.42285e-322 -1.97626e-323
2 0.01 27 0 0
2 0.01 28 0 0
2 0.01 29 0 0
2 0.01 30 0 0
2 0.01 31 0 0
2 0.01 32 0 0
2 0.01 33 0 0
2 0.01 34 0 0
2 0.01 35 0 0
2 0.01 36 0 0
2 0.01 37 0 0
2 0.01 38 0 0
2 0.01 39 0 0
2 0.01 40 0 0
2 0.01 41 0 0
2 0.01 42 0 0
2 0.01 43 0 0
2 0.01 44 0 0
2 0.01 45 0 0
2 0.01 46 0 0
2 0.01 47 0 0
2 0.01 48 0 0
2 0.01 49 0 0
3 0.015 0 -1.89808e-38 -4.65228e-38
3 0.015 1 3.76166e-37 9.7608e-37
3 0.015 2 -9.76214e-36 -3.11104e-35
3 0.015 3 5.38912e-34 1.5233e-33
3 0.015 4 -2.41098e-32 -8.1402e-32
3 0.015 5 2.02483e-30 5.83009e-30
3 0.015 6 -1.15822e-28 -4.08568e-28
3 0.015 7 1.25679e-26 3.64742e-26
3 0.015 8 -7.98037e-25 -2.96473e-24
3 0.015 9 1.02936e-22 2.99862e-22
