# step x_cm g psi1_integral psi2_integral
1 0.02 0 -8.00444e-33 -1.12627e-32
1 0.02 1 6.67144e-32 1.32879e-31
1 0.02 2 -8.38863e-31 -1.96772e-30
1 0.02 3 1.42828e-29 3.57078e-29
1 0.02 4 -3.00813e-28 -7.78917e-28
1 0.02 5 7.46258e-27 1.97621e-26
1 0.02 6 -2.11311e-25 -5.684e-25
1 0.02 7 6.67834e-24 1.81713e-23
1 0.02 8 -2.31563e-22 -6.35596e-22
1 0.02 9 8.68622e-21 2.40045e-20
1 0.02 10 -3.48205e-19 -9.674e-19
1 0.02 11 1.47455e-17 4.11361e-17
1 0.02 12 -6.51753e-16 -1.82376e-15
1 0.02 13 2.96429e-14 8.31086e-14
1 0.02 14 -1.36016e-12 -3.81543e-12
1 0.02 15 6.08843e-11 1.70476e-10
1 0.02 16 -2.46616e-09 -6.85253e-09
1 0.02 17 6.83326e-08 1.82827e-07
1 0.02 18 7.26865e-06 7.38085e-06
1 0.02 19 8.99234e-05 -7.28782e-06
1 0.02 20 4.0366e-15 -3.1572e-16
1 0.02 21 4.02669e-37 -3.04523e-38
1 0.02 22 8.92639e-71 -6.5386e-72
1 0.02 23 4.39748e-116 -3.1249e-117
1 0.02 24 4.81435e-173 -3.32372e-174
1 0.02 25 1.17133e-241 -7.86688e-243
1 0.02 26 6.32404e-322 -3.95253e-323
1 0.02 27 0 0
1 0.02 28 0 0
1 0.02 29 0 0
1 0.02 30 0 0
1 0.02 31 0 0
1 0.02 32 0 0
1 0.02 33 0 0
1 0.02 34 0 0
1 0.02 35 0 0
1 0.02 36 0 0
1 0.02 37 0 0
1 0.02 38 0 0
1 0.02 39 0 0
1 0.02 40 0 0
1 0.02 41 0 0
1 0.02 42 0 0
1 0.02 43 0 0
1 0.02 44 0 0
1 0.02 45 0 0
1 0.02 46 0 0
1 0.02 47 0 0
1 0.02 48 0 0
1 0.02 49 0 0
2 0.04 0 -1.20232e-30 -1.58838e-30
2 0.04 1 9.6684e-30 1.84064e-29
2 0.04 2 -1.10871e-28 -2.51905e-28
2 0.04 3 1.68645e-27 4.10787e-27
2 0.04 4 -3.12722e-26 -7.91409e-26
2 0.04 5 6.73714e-25 1.74675e-24
2 0.04 6 -1.63291e-23 -4.30427e-23
2 0.04 7 4.34691e-22 1.15941e-21
2 0.04 8 -1.24623e-20 -3.35237e-20
2 0.04 9 3.7808e-19 1.02321e-18
2 0.04 10 -1.19307e-17 -3.24163e-17
2 0.04 11 3.84363e-16 1.04635e-15
2 0.04 12 -1.23592e-14 -3.3632e-14
2 0.04 13 3.84617e-13 1.04283e-12
2 0.04 14 -1.10413e-11 -2.96601e-11
2 0.04 15 2.67695e-10 7.03303e-10
2 0.04 16 -4.41978e-09 -1.08252e-08
2 0.04 17 6.11616e-09 -2.25046e-08
2 0.04 18 1.01914e-05 1.42378e-05
2 0.04 19 8.70645e-05 -1.37548e-05
2 0.04 20 3.91352e-15 -5.97192e-16
2 0.04 21 3.90864e-37 -5.77164e-38
2 0.04 22 8.67422e-71 -1.24153e-71
2 0.04 23 4.27754e-116 -5.94339e-117
2 0.04 24 4.68734e-173 -6.33126e-174
2 0.04 25 1.14139e-241 -1.50067e-242
2 0.04 26 6.17582e-322 -7.90505e-323
2 0.04 27 0 0
2 0.04 28 0 0
2 0.04 29 0 0
2 0.04 30 0 0
2 0.04 31 0 0
2 0.04 32 0 0
2 0.04 33 0 0
2 0.04 34 0 0
2 0.04 35 0 0
2 0.04 36 0 0
2 0.04 37 0 0
2 0.04 38 0 0
2 0.04 39 0 0
2 0.04 40 0 0
2 0.04 41 0 0
2 0.04 42 0 0
2 0.04 43 0 0
2 0.04 44 0 0
2 0.04 45 0 0
2 0.04 46 0 0
2 0.04 47 0 0
2 0.04 48 0 0
2 0.04 49 0 0
3 0.06 0 -5.21875e-29 -6.44065e-29
3 0.06 1 4.11071e-28 7.44271e-28
3 0.06 2 -4.32632e-27 -9.48017e-27
3 0.06 3 5.90195e-26 1.39527e-25
3 0.06 4 -9.66657e-25 -2.3822e-24
3 0.06 5 1.81409e-23 4.58826e-23
3 0.06 6 -3.77597e-22 -9.71732e-22
3 0.06 7 8.49892e-21 2.21319e-20
3 0.06 8 -2.02387e-19 -5.31194e-19
3 0.06 9 4.99456e-18 1.31698e-17
3 0.06 10 -1.24998e-16 -3.30121e-16
3 0.06 11 3.09379e-15 8.15542e-15
3 0.06 12 -7.32964e-14 -1.9194e-13
3 0.06 13 1.58344e-12 4.08574e-12
3 0.06 14 -2.85626e-11 -7.12526e-11
3 0.06 15 3.38331e-10 7.52036e-10
3 0.06 16 9.94502e-10 6.18829e-09
3 0.06 17 -1.70022e-07 -5.04536e-07
3 0.06 18 1.33126e-05 2.05228e-05
3 0.06 19 8.41141e-05 -1.94599e-05
3 0.06 20 3.78653e-15 -8.46781e-16
3 0.06 21 3.7869e-37 -8.20048e-38
3 0.06 22 8.41429e-71 -1.76726e-71
3 0.06 23 4.15396e-116 -8.47456e-117
3 0.06 24 4.55652e-173 -9.04172e-174
3 0.06 25 1.11057e-241 -2.14621e-242
3 0.06 26 6.0276e-322 -1.13635e-322
3 0.06 27 0 0
3 0.06 28 0 0
3 0.06 29 0 0
3 0.06 30 0 0
3 0.06 31 0 0
3 0.06 32 0 0
3 0.06 33 0 0
3 0.06 34 0 0
3 0.06 35 0 0
3 0.06 36 0 0
3 0.06 37 0 0
3 0.06 38 0 0
3 0.06 39 0 0
3 0.06 40 0 0
3 0.06 41 0 0
3 0.06 42 0 0
3 0.06 43 0 0
3 0.06 44 0 0
3 0.06 45 0 0
3 0.06 46 0 0
3 0.06 47 0 0
3 0.06 48 0 0
3 0.06 49 0 0
4 0.08 0 -1.04407e-27 -1.19727e-27
4 0.08 1 8.21159e-27 1.40655e-26
4 0.08 2 -7.99993e-26 -1.68293e-25
4 0.08 3 9.84453e-25 2.24946e-24
4 0.08 4 -1.43153e-23 -3.42178e-23
4 0.08 5 2.3524e-22 5.78117e-22
4 0.08 6 -4.22862e-21 -1.05805e-20
4 0.08 7 8.09812e-20 2.0497e-19
4 0.08 8 -1.61332e-18 -4.11055e-18
4 0.08 9 3.26489e-17 8.33722e-17
4 0.08 10 -6.53541e-16 -1.66475e-15
4 0.08 11 1.25104e-14 3.15867e-14
4 0.08 12 -2.17721e-13 -5.3881e-13
4 0.08 13 3.12232e-12 7.36186e-12
4 0.08 14 -2.65136e-11 -5.03605e-11
4 0.08 15 -2.76909e-10 -1.09182e-09
4 0.08 16 1.8125e-08 5.22639e-08
4 0.08 17 -4.40928e-07 -1.16388e-06
4 0.08 18 1.65856e-05 2.62028e-05
4 0.08 19 8.10954e-05 -2.44591e-05
4 0.08 20 3.65661e-15 -1.06674e-15
4 0.08 21 3.66233e-37 -1.0352e-37
4 0.08 22 8.14832e-71 -2.23515e-71
4 0.08 23 4.02751e-116 -1.07367e-116
4 0.08 24 4.42268e-173 -1.14735e-173
4 0.08 25 1.07903e-241 -2.7274e-242
4 0.08 26 5.82997e-322 -1.43279e-322
4 0.08 27 0 0
4 0.08 28 0 0
4 0.08 29 0 0
4 0.08 30 0 0
4 0.08 31 0 0
4 0.08 32 0 0
4 0.08 33 0 0
4 0.08 34 0 0
4 0.08 35 0 0
4 0.08 36 0 0
4 0.08 37 0 0
4 0.08 38 0 0
4 0.08 39 0 0
4 0.08 40 0 0
4 0.08 41 0 0
4 0.08 42 0 0
4 0.08 43 0 0
4 0.08 44 0 0
4 0.08 45 0 0
4 0.08 46 0 0
4 0.08 47 0 0
4 0.08 48 0 0
4 0.08 49 0 0
5 0.1 0 -1.18083e-26 -1.25011e-26
5 0.1 1 9.50241e-26 1.53088e-25
5 0.1 2 -8.66082e-25 -1.74019e-24
5 0.1 3 9.68261e-24 2.12855e-23
5 0.1 4 -1.25783e-22 -2.90321e-22
5 0.1 5 1.82078e-21 4.32815e-21
5 0.1 6 -2.84364e-20 -6.88408e-20
5 0.1 7 4.66101e-19 1.14033e-18
5 0.1 8 -7.80921e-18 -1.91859e-17
5 0.1 9 1.29963e-16 3.18565e-16
5 0.1 10 -2.07201e-15 -5.02369e-15
5 0.1 11 2.99113e-14 7.06045e-14
5 0.1 12 -3.45867e-13 -7.58588e-13
5 0.1 13 1.79796e-12 2.09414e-12
5 0.1 14 5.26814e-11 1.77417e-10
5 0.1 15 -2.1861e-09 -6.12903e-09
5 0.1 16 4.90503e-08 1.27872e-07
5 0.1 17 -7.85703e-07 -1.91331e-06
5 0.1 18 1.99669e-05 3.12576e-05
5 0.1 19 7.80298e-05 -2.88057e-05
5 0.1 20 3.5246e-15 -1.25923e-15
5 0.1 21 3.53572e-37 -1.22457e-37
5 0.1 22 7.87789e-71 -2.64907e-71
5 0.1 23 3.89891e-116 -1.27474e-116
5 0.1 24 4.28654e-173 -1.3644e-173
5 0.1 25 1.04695e-241 -3.2482e-242
5 0.1 26 5.68175e-322 -1.72923e-322
5 0.1 27 0 0
5 0.1 28 0 0
5 0.1 29 0 0
5 0.1 30 0 0
5 0.1 31 0 0
5 0.1 32 0 0
5 0.1 33 0 0
5 0.1 34 0 0
5 0.1 35 0 0
5 0.1 36 0 0
5 0.1 37 0 0
5 0.1 38 0 0
5 0.1 39 0 0
5 0.1 40 0 0
5 0.1 41 0 0
5 0.1 42 0 0
5 0.1 43 0 0
5 0.1 44 0 0
5 0.1 45 0 0
5 0.1 46 0 0
5 0.1 47 0 0
5 0.1 48 0 0
5 0.1 49 0 0
6 0.12 0 -8.4234e-26 -8.15479e-26
6 0.12 1 7.16492e-25 1.07792e-24
6 0.12 2 -6.18672e-24 -1.17995e-23
6 0.12 3 6.33264e-23 1.33177e-22
6 0.12 4 -7.39401e-22 -1.63878e-21
6 0.12 5 9.476e-21 2.16593e-20
6 0.12 6 -1.29058e-19 -3.00267e-19
6 0.12 7 1.81289e-18 4.2518e-18
6 0.12 8 -2.54429e-17 -5.95939e-17
6 0.12 9 3.42504e-16 7.91403e-16
6 0.12 10 -4.13231e-15 -9.19273e-15
6 0.12 11 3.75538e-14 7.34334e-14
6 0.12 12 -3.54039e-14 2.64178e-13
6 0.12 13 -9.26856e-12 -2.85909e-11
6 0.12 14 2.87188e-10 7.83653e-10
6 0.12 15 -5.90046e-09 -1.51532e-08
6 0.12 16 9.38572e-08 2.27985e-07
6 0.12 17 -1.1824e-06 -2.67757e-06
6 0.12 18 2.34156e-05 3.56782e-05
6 0.12 19 7.49365e-05 -3.25502e-05
6 0.12 20 3.39128e-15 -1.42627e-15
6 0.12 21 3.40777e-37 -1.38998e-37
6 0.12 22 7.60445e-71 -3.01276e-71
6 0.12 23 3.76881e-116 -1.45232e-116
6 0.12 24 4.14876e-173 -1.55702e-173
6 0.12 25 1.01447e-241 -3.71235e-242
6 0.12 26 5.53354e-322 -1.97626e-322
6 0.12 27 0 0
6 0.12 28 0 0
6 0.12 29 0 0
6 0.12 30 0 0
6 0.12 31 0 0
6 0.12 32 0 0
6 0.12 33 0 0
6 0.12 34 0 0
6 0.12 35 0 0
6 0.12 36 0 0
6 0.12 37 0 0
6 0.12 38 0 0
6 0.12 39 0 0
6 0.12 40 0 0
6 0.12 41 0 0
6 0.12 42 0 0
6 0.12 43 0 0
6 0.12 44 0 0
6 0.12 45 0 0
6 0.12 46 0 0
6 0.12 47 0 0
6 0.12 48 0 0
6 0.12 49 0 0
7 0.14 0 -4.00195e-25 -3.47913e-25
7 0.14 1 3.77649e-24 5.25077e-24
7 0.14 2 -3.13562e-23 -5.62815e-23
7 0.14 3 2.96087e-22 5.90986e-22
7 0.14 4 -3.12079e-21 -6.58808e-21
7 0.14 5 3.54573e-20 7.72174e-20
7 0.14 6 -4.19796e-19 -9.27936e-19
7 0.14 7 4.99404e-18 1.10456e-17
7 0.14 8 -5.6869e-17 -1.23498e-16
7 0.14 9 5.66664e-16 1.15775e-15
7 0.14 10 -3.66523e-15 -5.46914e-15
7 0.14 11 -2.54812e-14 -1.15183e-13
7 0.14 12 1.61648e-12 4.69065e-12
7 0.14 13 -4.03963e-11 -1.07335e-10
7 0.14 14 7.59399e-10 1.91754e-09
7 0.14 15 -1.17281e-08 -2.82582e-08
7 0.14 16 1.50945e-07 3.43875e-07
7 0.14 17 -1.60866e-06 -3.39304e-06
7 0.14 18 2.68941e-05 3.94651e-05
7 0.14 19 7.18326e-05 -3.57405e-05
7 0.14 20 3.25737e-15 -1.56982e-15
7 0.14 21 3.27912e-37 -1.53319e-37
7 0.14 22 7.32931e-71 -3.32975e-71
7 0.14 23 3.63782e-116 -1.60803e-116
7 0.14 24 4.00994e-173 -1.72682e-173
7 0.14 25 9.81733e-242 -4.12348e-242
7 0.14 26 5.33591e-322 -2.17389e-322
7 0.14 27 0 0
7 0.14 28 0 0
7 0.14 29 0 0
7 0.14 30 0 0
7 0.14 31 0 0
7 0.14 32 0 0
7 0.14 33 0 0
7 0.14 34 0 0
7 0.14 35 0 0
7 0.14 36 0 0
7 0.14 37 0 0
7 0.14 38 0 0
7 0.14 39 0 0
7 0.14 40 0 0
7 0.14 41 0 0
7 0.14 42 0 0
7 0.14 43 0 0
7 0.14 44 0 0
7 0.14 45 0 0
7 0.14 46 0 0
7 0.14 47 0 0
7 0.14 48 0 0
7 0.14 49 0 0
8 0.16 0 -1.2606e-24 -9.3742e-25
8 0.16 1 1.44264e-23 1.81968e-23
8 0.16 2 -1.17369e-22 -1.95449e-22
8 0.16 3 1.02874e-21 1.92286e-21
8 0.16 4 -9.78349e-21 -1.93859e-20
8 0.16 5 9.77293e-20 1.99093e-19
8 0.16 6 -9.83551e-19 -2.01052e-18
8 0.16 7 9.37576e-18 1.86065e-17
8 0.16 8 -7.38218e-17 -1.29294e-16
8 0.16 9 2.16763e-16 -1.06157e-16
8 0.16 10 8.80266e-15 2.94155e-14
8 0.16 11 -2.87114e-13 -7.93129e-13
8 0.16 12 6.03532e-12 1.56097e-11
8 0.16 13 -1.03877e-10 -2.57399e-10
8 0.16 14 1.53746e-09 3.66033e-09
8 0.16 15 -1.97113e-08 -4.47979e-08
8 0.16 16 2.1734e-07 4.64632e-07
8 0.16 17 -2.04222e-06 -4.00718e-06
8 0.16 18 3.03675e-05 4.26272e-05
8 0.16 19 6.87336e-05 -3.84217e-05
8 0.16 20 3.12349e-15 -1.6917e-15
8 0.16 21 3.15037e-37 -1.65588e-37
8 0.16 22 7.05366e-71 -3.60341e-71
8 0.16 23 3.50646e-116 -1.74339e-116
8 0.16 24 3.87063e-173 -1.87532e-173
8 0.16 25 9.48855e-242 -4.48504e-242
8 0.16 26 5.18769e-322 -2.37152e-322
8 0.16 27 0 0
8 0.16 28 0 0
8 0.16 29 0 0
8 0.16 30 0 0
8 0.16 31 0 0
8 0.16 32 0 0
8 0.16 33 0 0
8 0.16 34 0 0
8 0.16 35 0 0
8 0.16 36 0 0
8 0.16 37 0 0
8 0.16 38 0 0
8 0.16 39 0 0
8 0.16 40 0 0
8 0.16 41 0 0
8 0.16 42 0 0
8 0.16 43 0 0
8 0.16 44 0 0
8 0.16 45 0 0
8 0.16 46 0 0
8 0.16 47 0 0
8 0.16 48 0 0
8 0.16 49 0 0
9 0.18 0 -2.22691e-24 -1.08379e-24
9 0.18 1 3.97619e-23 4.35219e-23
9 0.18 2 -3.26217e-22 -4.88738e-22
9 0.18 3 2.65933e-21 4.51848e-21
9 0.18 4 -2.24941e-20 -4.03586e-20
9 0.18 5 1.89875e-19 3.42645e-19
9 0.18 6 -1.46689e-18 -2.47461e-18
9 0.18 7 7.85173e-18 8.26646e-18
9 0.18 8 3.6976e-17 2.02311e-16
9 0.18 9 -2.28303e-15 -6.71776e-15
9 0.18 10 5.26546e-14 1.39173e-13
9 0.18 11 -9.5417e-13 -2.39913e-12
9 0.18 12 1.50438e-11 3.64974e-11
9 0.18 13 -2.1156e-10 -4.96027e-10
9 0.18 14 2.65806e-09 5.99228e-09
9 0.18 15 -2.96005e-08 -6.34546e-08
9 0.18 16 2.89017e-07 5.7841e-07
9 0.18 17 -2.4614e-06 -4.47794e-06
9 0.18 18 3.38042e-05 4.518e-05
9 0.18 19 6.56532e-05 -4.06365e-05
9 0.18 20 2.99022e-15 -1.79365e-15
9 0.18 21 3.02203e-37 -1.75961e-37
9 0.18 22 6.77858e-71 -3.83695e-71
9 0.18 23 3.37525e-116 -1.85984e-116
9 0.18 24 3.73135e-173 -2.004e-173
9 0.18 25 9.15955e-242 -4.80033e-242
9 0.18 26 4.99006e-322 -2.51973e-322
9 0.18 27 0 0
9 0.18 28 0 0
9 0.18 29 0 0
9 0.18 30 0 0
9 0.18 31 0 0
9 0.18 32 0 0
9 0.18 33 0 0
9 0.18 34 0 0
9 0.18 35 0 0
9 0.18 36 0 0
9 0.18 37 0 0
9 0.18 38 0 0
9 0.18 39 0 0
9 0.18 40 0 0
9 0.18 41 0 0
9 0.18 42 0 0
9 0.18 43 0 0
9 0.18 44 0 0
9 0.18 45 0 0
9 0.18 46 0 0
9 0.18 47 0 0
9 0.18 48 0 0
9 0.18 49 0 0
10 0.2 0 9.88483e-25 3.21599e-24
10 0.2 1 7.11206e-23 5.60124e-23
10 0.2 2 -6.30044e-22 -7.66231e-22
10 0.2 3 4.70846e-21 6.53946e-21
10 0.2 4 -3.27998e-20 -4.51455e-20
10 0.2 5 1.83413e-19 1.79382e-19
10 0.2 6 -8.91892e-20 1.975e-18
10 0.2 7 -2.26246e-17 -7.35595e-17
10 0.2 8 5.54539e-16 1.49963e-15
10 0.2 9 -1.00544e-14 -2.54516e-14
10 0.2 10 1.59395e-13 3.88679e-13
10 0.2 11 -2.30175e-12 -5.45152e-12
10 0.2 12 3.05594e-11 7.03217e-11
10 0.2 13 -3.71928e-10 -8.27831e-10
10 0.2 14 4.11293e-09 8.77574e-09
10 0.2 15 -4.08595e-08 -8.23766e-08
10 0.2 16 3.61204e-07 6.73438e-07
10 0.2 17 -2.84547e-06 -4.77303e-06
10 0.2 18 3.71757e-05 4.71447e-05
10 0.2 19 6.26036e-05 -4.24251e-05
10 0.2 20 2.85807e-15 -1.87731e-15
10 0.2 21 2.89457e-37 -1.84588e-37
10 0.2 22 6.50504e-71 -4.03341e-71
10 0.2 23 3.24462e-116 -1.95876e-116
10 0.2 24 3.59254e-173 -2.11425e-173
10 0.2 25 8.83138e-242 -5.07249e-242
10 0.2 26 4.79244e-322 -2.66795e-322
10 0.2 27 0 0
10 0.2 28 0 0
10 0.2 29 0 0
10 0.2 30 0 0
10 0.2 31 0 0
10 0.2 32 0 0
10 0.2 33 0 0
10 0.2 34 0 0
10 0.2 35 0 0
10 0.2 36 0 0
10 0.2 37 0 0
10 0.2 38 0 0
10 0.2 39 0 0
10 0.2 40 0 0
10 0.2 41 0 0
10 0.2 42 0 0
10 0.2 43 0 0
10 0.2 44 0 0
10 0.2 45 0 0
10 0.2 46 0 0
10 0.2 47 0 0
10 0.2 48 0 0
10 0.2 49 0 0
11 0.22 0 2.18591e-23 2.17431e-23
11 0.22 1 2.68814e-23 -6.46441e-23
11 0.22 2 -5.27275e-22 -2.69038e-24
11 0.22 3 2.90804e-21 -1.39118e-21
11 0.22 4 2.13343e-21 6.1074e-20
11 0.22 5 -3.7886e-19 -1.29521e-18
11 0.22 6 8.08656e-18 2.20453e-17
11 0.22 7 -1.34403e-16 -3.38289e-16
11 0.22 8 2.01047e-15 4.86265e-15
11 0.22 9 -2.81249e-14 -6.62573e-14
11 0.22 10 3.7165e-13 8.56038e-13
11 0.22 11 -4.63374e-12 -1.04246e-11
11 0.22 12 5.41469e-11 1.18456e-10
11 0.22 13 -5.87156e-10 -1.23947e-09
11 0.22 14 5.84029e-09 1.17552e-08
11 0.22 15 -5.26947e-08 -9.93575e-08
11 0.22 16 4.28678e-07 7.38798e-07
11 0.22 17 -3.175e-06 -4.86911e-06
11 0.22 18 4.04561e-05 4.85473e-05
11 0.22 19 5.95955e-05 -4.38253e-05
11 0.22 20 2.72747e-15 -1.94424e-15
11 0.22 21 2.76842e-37 -1.91611e-37
11 0.22 22 6.23391e-71 -4.19567e-71
11 0.22 23 3.11497e-116 -2.04147e-116
11 0.22 24 3.45462e-173 -2.2074e-173
11 0.22 25 8.50498e-242 -5.30454e-242
11 0.22 26 4.64422e-322 -2.81617e-322
11 0.22 27 0 0
11 0.22 28 0 0
11 0.22 29 0 0
11 0.22 30 0 0
11 0.22 31 0 0
11 0.22 32 0 0
11 0.22 33 0 0
11 0.22 34 0 0
11 0.22 35 0 0
11 0.22 36 0 0
11 0.22 37 0 0
11 0.22 38 0 0
11 0.22 39 0 0
11 0.22 40 0 0
11 0.22 41 0 0
11 0.22 42 0 0
11 0.22 43 0 0
11 0.22 44 0 0
11 0.22 45 0 0
11 0.22 46 0 0
11 0.22 47 0 0
11 0.22 48 0 0
11 0.22 49 0 0
12 0.24 0 8.38257e-23 6.62755e-23
12 0.24 1 -3.56672e-22 -6.26255e-22
12 0.24 2 1.77989e-21 4.76783e-21
12 0.24 3 -1.66987e-20 -4.52305e-20
12 0.24 4 2.03187e-19 5.14002e-19
12 0.24 5 -2.60516e-18 -6.27773e-18
12 0.24 6 3.3399e-17 7.81958e-17
12 0.24 7 -4.22585e-16 -9.70932e-16
12 0.24 8 5.24146e-15 1.18611e-14
12 0.24 9 -6.3283e-14 -1.41028e-13
12 0.24 10 7.37486e-13 1.61429e-12
12 0.24 11 -8.21445e-12 -1.75769e-11
12 0.24 12 8.64889e-11 1.79612e-10
12 0.24 13 -8.50604e-10 -1.69663e-09
12 0.24 14 7.72201e-09 1.45727e-08
12 0.24 15 -6.41028e-08 -1.12031e-07
12 0.24 16 4.8604e-07 7.65022e-07
12 0.24 17 -3.43209e-06 -4.75101e-06
12 0.24 18 4.36229e-05 4.94173e-05
12 0.24 19 5.66382e-05 -4.48727e-05
12 0.24 20 2.59883e-15 -1.99588e-15
12 0.24 21 2.64394e-37 -1.97163e-37
12 0.24 22 5.96597e-71 -4.32646e-71
12 0.24 23 2.98667e-116 -2.10921e-116
12 0.24 24 3.31797e-173 -2.28471e-173
12 0.24 25 8.18122e-242 -5.49933e-242
12 0.24 26 4.496e-322 -2.91499e-322
12 0.24 27 0 0
12 0.24 28 0 0
12 0.24 29 0 0
12 0.24 30 0 0
12 0.24 31 0 0
12 0.24 32 0 0
12 0.24 33 0 0
12 0.24 34 0 0
12 0.24 35 0 0
12 0.24 36 0 0
12 0.24 37 0 0
12 0.24 38 0 0
12 0.24 39 0 0
12 0.24 40 0 0
12 0.24 41 0 0
12 0.24 42 0 0
12 0.24 43 0 0
12 0.24 44 0 0
12 0.24 45 0 0
12 0.24 46 0 0
12 0.24 47 0 0
12 0.24 48 0 0
12 0.24 49 0 0
13 0.26 0 1.98153e-22 1.28449e-22
13 0.26 1 -1.63697e-21 -2.14734e-21
13 0.26 2 1.05639e-20 1.95242e-20
13 0.26 3 -8.62148e-20 -1.77285e-19
13 0.26 4 8.26386e-19 1.75961e-18
13 0.26 5 -8.61458e-18 -1.85572e-17
13 0.26 6 9.35168e-17 2.01999e-16
